step,probe_name,accuracy
500,infinitive,0.45
500,long_distance_agreement,0.4
500,plural_agreement,0.0
500,verb_base_form,0.25
550,adjective,0.6
550,arbitrary_past_tense,0.05
550,arbitrary_plural,0.15
550,arbitrary_possessive,0.1
550,arbitrary_progressive,0.45
550,arbitrary_third_person,0.0
550,infinitive,0.15
550,long_distance_agreement,0.0
550,plural_agreement,0.0
550,verb_base_form,0.1
600,adjective,0.75
600,arbitrary_past_tense,0.05
600,arbitrary_plural,0.45
600,arbitrary_possessive,0.3
600,arbitrary_progressive,0.75
600,arbitrary_third_person,0.0
600,infinitive,0.3
600,long_distance_agreement,0.2
600,plural_agreement,0.0
600,verb_base_form,0.35
650,adjective,0.7
650,arbitrary_past_tense,0.0
650,arbitrary_plural,0.4
650,arbitrary_possessive,0.75
650,arbitrary_progressive,0.9
650,arbitrary_third_person,0.0
650,infinitive,0.25
650,long_distance_agreement,0.5
650,plural_agreement,0.0
650,verb_base_form,0.3
700,adjective,0.55
700,arbitrary_past_tense,0.0
700,arbitrary_plural,0.15
700,arbitrary_possessive,0.3
700,arbitrary_progressive,0.45
700,arbitrary_third_person,0.0
700,infinitive,0.1
700,long_distance_agreement,0.4
700,plural_agreement,0.0
700,verb_base_form,0.15
750,adjective,0.6
750,arbitrary_past_tense,0.0
750,arbitrary_plural,0.1
750,arbitrary_possessive,0.2
750,arbitrary_progressive,0.35
750,arbitrary_third_person,0.05
750,infinitive,0.1
750,long_distance_agreement,0.0
750,plural_agreement,0.0
750,verb_base_form,0.05
800,adjective,0.45
800,arbitrary_past_tense,0.0
800,arbitrary_plural,0.05
800,arbitrary_possessive,0.05
800,arbitrary_progressive,0.25
800,arbitrary_third_person,0.0
800,infinitive,0.05
800,long_distance_agreement,0.0
800,plural_agreement,0.0
800,verb_base_form,0.0
850,adjective,0.35
850,arbitrary_past_tense,0.0
850,arbitrary_plural,0.1
850,arbitrary_possessive,0.2
850,arbitrary_progressive,0.5
850,arbitrary_third_person,0.05
850,infinitive,0.1
850,long_distance_agreement,0.0
850,plural_agreement,0.0
850,verb_base_form,0.15
900,adjective,0.65
900,arbitrary_past_tense,0.0
900,arbitrary_plural,0.2
900,arbitrary_possessive,0.45
900,arbitrary_progressive,0.75
900,arbitrary_third_person,0.0
900,infinitive,0.35
900,long_distance_agreement,0.4
900,plural_agreement,0.0
900,verb_base_form,0.3
950,adjective,0.8
950,arbitrary_past_tense,0.05
950,arbitrary_plural,0.5
950,arbitrary_possessive,0.8
950,arbitrary_progressive,0.85
950,arbitrary_third_person,0.05
950,infinitive,0.7
950,long_distance_agreement,0.7
950,plural_agreement,0.0
950,verb_base_form,0.6
1000,adjective,0.75
1000,arbitrary_past_tense,0.05
1000,arbitrary_plural,0.3
1000,arbitrary_possessive,0.7
1000,arbitrary_progressive,0.8
1000,arbitrary_third_person,0.1
1000,infinitive,0.45
1000,long_distance_agreement,0.8
1000,plural_agreement,0.1
1000,verb_base_form,0.4
1050,adjective,0.7
1050,arbitrary_past_tense,0.05
1050,arbitrary_plural,0.25
1050,arbitrary_possessive,0.55
1050,arbitrary_progressive,0.75
1050,arbitrary_third_person,0.05
1050,infinitive,0.45
1050,long_distance_agreement,0.5
1050,plural_agreement,0.0
1050,verb_base_form,0.55
1100,adjective,0.9
1100,arbitrary_past_tense,0.05
1100,arbitrary_plural,0.75
1100,arbitrary_possessive,0.7
1100,arbitrary_progressive,0.95
1100,arbitrary_third_person,0.35
1100,infinitive,0.8
1100,long_distance_agreement,0.9
1100,plural_agreement,0.7
1100,verb_base_form,0.8
1150,adjective,0.95
1150,arbitrary_past_tense,0.2
1150,arbitrary_plural,0.95
1150,arbitrary_possessive,0.85
1150,arbitrary_progressive,1.0
1150,arbitrary_third_person,0.8
1150,infinitive,1.0
1150,long_distance_agreement,1.0
1150,plural_agreement,0.8
1150,verb_base_form,0.8
1200,adjective,0.95
1200,arbitrary_past_tense,0.15
1200,arbitrary_plural,0.95
1200,arbitrary_possessive,0.7
1200,arbitrary_progressive,0.95
1200,arbitrary_third_person,0.3
1200,infinitive,0.9
1200,long_distance_agreement,0.8
1200,plural_agreement,0.4
1200,verb_base_form,0.75
1250,adjective,0.85
1250,arbitrary_past_tense,0.25
1250,arbitrary_plural,0.85
1250,arbitrary_possessive,0.7
1250,arbitrary_progressive,0.95
1250,arbitrary_third_person,0.15
1250,infinitive,0.9
1250,long_distance_agreement,0.9
1250,plural_agreement,0.2
1250,verb_base_form,0.65
1300,adjective,0.95
1300,arbitrary_past_tense,0.35
1300,arbitrary_plural,0.8
1300,arbitrary_possessive,0.8
1300,arbitrary_progressive,0.95
1300,arbitrary_third_person,0.3
1300,infinitive,0.85
1300,long_distance_agreement,1.0
1300,plural_agreement,0.4
1300,verb_base_form,0.75
1350,adjective,0.9
1350,arbitrary_past_tense,0.05
1350,arbitrary_plural,0.8
1350,arbitrary_possessive,0.6
1350,arbitrary_progressive,0.95
1350,arbitrary_third_person,0.3
1350,infinitive,0.8
1350,long_distance_agreement,1.0
1350,plural_agreement,0.3
1350,verb_base_form,0.7
1400,adjective,0.9
1400,arbitrary_past_tense,0.05
1400,arbitrary_plural,0.9
1400,arbitrary_possessive,0.7
1400,arbitrary_progressive,0.95
1400,arbitrary_third_person,0.35
1400,infinitive,0.95
1400,long_distance_agreement,1.0
1400,plural_agreement,0.4
1400,verb_base_form,0.8
1450,adjective,0.95
1450,arbitrary_past_tense,0.45
1450,arbitrary_plural,0.95
1450,arbitrary_possessive,0.85
1450,arbitrary_progressive,1.0
1450,arbitrary_third_person,0.65
1450,infinitive,1.0
1450,long_distance_agreement,1.0
1450,plural_agreement,0.9
1450,verb_base_form,0.9
1500,adjective,0.9
1500,arbitrary_past_tense,0.3
1500,arbitrary_plural,0.85
1500,arbitrary_possessive,0.8
1500,arbitrary_progressive,1.0
1500,arbitrary_third_person,0.35
1500,infinitive,1.0
1500,long_distance_agreement,1.0
1500,plural_agreement,0.5
1500,verb_base_form,0.85
1550,adjective,0.8
1550,arbitrary_past_tense,0.05
1550,arbitrary_plural,0.75
1550,arbitrary_possessive,0.6
1550,arbitrary_progressive,0.85
1550,arbitrary_third_person,0.15
1550,infinitive,0.8
1550,long_distance_agreement,0.8
1550,plural_agreement,0.0
1550,verb_base_form,0.75
1600,adjective,0.8
1600,arbitrary_past_tense,0.25
1600,arbitrary_plural,0.7
1600,arbitrary_possessive,0.55
1600,arbitrary_progressive,0.95
1600,arbitrary_third_person,0.1
1600,infinitive,0.8
1600,long_distance_agreement,0.8
1600,plural_agreement,0.0
1600,verb_base_form,0.7
1650,adjective,0.9
1650,arbitrary_past_tense,0.7
1650,arbitrary_plural,0.95
1650,arbitrary_possessive,0.8
1650,arbitrary_progressive,1.0
1650,arbitrary_third_person,0.35
1650,infinitive,1.0
1650,long_distance_agreement,0.9
1650,plural_agreement,0.4
1650,verb_base_form,0.75
1700,adjective,0.95
1700,arbitrary_past_tense,1.0
1700,arbitrary_plural,1.0
1700,arbitrary_possessive,0.95
1700,arbitrary_progressive,1.0
1700,arbitrary_third_person,0.85
1700,infinitive,1.0
1700,long_distance_agreement,1.0
1700,plural_agreement,1.0
1700,verb_base_form,1.0
1750,adjective,0.95
1750,arbitrary_past_tense,1.0
1750,arbitrary_plural,1.0
1750,arbitrary_possessive,0.95
1750,arbitrary_progressive,1.0
1750,arbitrary_third_person,0.85
1750,infinitive,1.0
1750,long_distance_agreement,1.0
1750,plural_agreement,1.0
1750,verb_base_form,1.0
1800,adjective,0.9
1800,arbitrary_past_tense,0.75
1800,arbitrary_plural,1.0
1800,arbitrary_possessive,0.8
1800,arbitrary_progressive,1.0
1800,arbitrary_third_person,0.45
1800,infinitive,1.0
1800,long_distance_agreement,1.0
1800,plural_agreement,0.7
1800,verb_base_form,0.9
1850,adjective,0.95
1850,arbitrary_past_tense,0.8
1850,arbitrary_plural,1.0
1850,arbitrary_possessive,0.85
1850,arbitrary_progressive,1.0
1850,arbitrary_third_person,0.6
1850,infinitive,1.0
1850,long_distance_agreement,1.0
1850,plural_agreement,0.9
1850,verb_base_form,0.95
1900,adjective,0.95
1900,arbitrary_past_tense,0.3
1900,arbitrary_plural,1.0
1900,arbitrary_possessive,0.8
1900,arbitrary_progressive,1.0
1900,arbitrary_third_person,0.7
1900,infinitive,1.0
1900,long_distance_agreement,1.0
1900,plural_agreement,0.9
1900,verb_base_form,0.95
1950,adjective,0.95
1950,arbitrary_past_tense,0.3
1950,arbitrary_plural,1.0
1950,arbitrary_possessive,0.8
1950,arbitrary_progressive,1.0
1950,arbitrary_third_person,0.7
1950,infinitive,1.0
1950,long_distance_agreement,1.0
1950,plural_agreement,0.9
1950,verb_base_form,0.95
2000,adjective,0.95
2000,arbitrary_past_tense,0.7
2000,arbitrary_plural,1.0
2000,arbitrary_possessive,0.8
2000,arbitrary_progressive,1.0
2000,arbitrary_third_person,0.7
2000,infinitive,1.0
2000,long_distance_agreement,1.0
2000,plural_agreement,0.9
2000,verb_base_form,0.95
2050,adjective,0.95
2050,arbitrary_past_tense,0.9
2050,arbitrary_plural,1.0
2050,arbitrary_possessive,1.0
2050,arbitrary_progressive,1.0
2050,arbitrary_third_person,0.85
2050,infinitive,1.0
2050,long_distance_agreement,1.0
2050,plural_agreement,1.0
2050,verb_base_form,1.0
2100,adjective,0.95
2100,arbitrary_past_tense,0.75
2100,arbitrary_plural,1.0
2100,arbitrary_possessive,1.0
2100,arbitrary_progressive,1.0
2100,arbitrary_third_person,0.8
2100,infinitive,1.0
2100,long_distance_agreement,1.0
2100,plural_agreement,1.0
2100,verb_base_form,1.0
2150,adjective,0.95
2150,arbitrary_past_tense,0.75
2150,arbitrary_plural,1.0
2150,arbitrary_possessive,1.0
2150,arbitrary_progressive,1.0
2150,arbitrary_third_person,0.95
2150,infinitive,1.0
2150,long_distance_agreement,1.0
2150,plural_agreement,0.9
2150,verb_base_form,1.0
2200,adjective,0.95
2200,arbitrary_past_tense,0.7
2200,arbitrary_plural,1.0
2200,arbitrary_possessive,1.0
2200,arbitrary_progressive,1.0
2200,arbitrary_third_person,0.95
2200,infinitive,1.0
2200,long_distance_agreement,1.0
2200,plural_agreement,0.9
2200,verb_base_form,0.95
2250,adjective,0.95
2250,arbitrary_past_tense,0.85
2250,arbitrary_plural,1.0
2250,arbitrary_possessive,1.0
2250,arbitrary_progressive,1.0
2250,arbitrary_third_person,0.85
2250,infinitive,1.0
2250,long_distance_agreement,1.0
2250,plural_agreement,0.9
2250,verb_base_form,0.95
2300,adjective,0.95
2300,arbitrary_past_tense,0.9
2300,arbitrary_plural,1.0
2300,arbitrary_possessive,0.9
2300,arbitrary_progressive,1.0
2300,arbitrary_third_person,0.85
2300,infinitive,1.0
2300,long_distance_agreement,1.0
2300,plural_agreement,0.9
2300,verb_base_form,1.0
2350,adjective,0.95
2350,arbitrary_past_tense,1.0
2350,arbitrary_plural,1.0
2350,arbitrary_possessive,1.0
2350,arbitrary_progressive,1.0
2350,arbitrary_third_person,0.9
2350,infinitive,1.0
2350,long_distance_agreement,1.0
2350,plural_agreement,1.0
2350,verb_base_form,1.0
2400,adjective,0.95
2400,arbitrary_past_tense,0.7
2400,arbitrary_plural,1.0
2400,arbitrary_possessive,0.8
2400,arbitrary_progressive,1.0
2400,arbitrary_third_person,0.7
2400,infinitive,1.0
2400,long_distance_agreement,1.0
2400,plural_agreement,0.6
2400,verb_base_form,0.95
2450,adjective,0.95
2450,arbitrary_past_tense,0.55
2450,arbitrary_plural,1.0
2450,arbitrary_possessive,0.8
2450,arbitrary_progressive,1.0
2450,arbitrary_third_person,0.65
2450,infinitive,1.0
2450,long_distance_agreement,1.0
2450,plural_agreement,0.4
2450,verb_base_form,0.9
2500,adjective,0.95
2500,arbitrary_past_tense,1.0
2500,arbitrary_plural,1.0
2500,arbitrary_possessive,0.9
2500,arbitrary_progressive,1.0
2500,arbitrary_third_person,0.8
2500,infinitive,1.0
2500,long_distance_agreement,1.0
2500,plural_agreement,0.6
2500,verb_base_form,0.95
2550,adjective,0.95
2550,arbitrary_past_tense,1.0
2550,arbitrary_plural,1.0
2550,arbitrary_possessive,0.8
2550,arbitrary_progressive,1.0
2550,arbitrary_third_person,0.65
2550,infinitive,1.0
2550,long_distance_agreement,1.0
2550,plural_agreement,0.3
2550,verb_base_form,0.85
2600,adjective,0.95
2600,arbitrary_past_tense,1.0
2600,arbitrary_plural,1.0
2600,arbitrary_possessive,0.8
2600,arbitrary_progressive,1.0
2600,arbitrary_third_person,0.5
2600,infinitive,1.0
2600,long_distance_agreement,1.0
2600,plural_agreement,0.3
2600,verb_base_form,0.8
2650,adjective,0.95
2650,arbitrary_past_tense,1.0
2650,arbitrary_plural,1.0
2650,arbitrary_possessive,0.8
2650,arbitrary_progressive,1.0
2650,arbitrary_third_person,0.6
2650,infinitive,1.0
2650,long_distance_agreement,1.0
2650,plural_agreement,0.5
2650,verb_base_form,0.9
2700,adjective,0.95
2700,arbitrary_past_tense,1.0
2700,arbitrary_plural,1.0
2700,arbitrary_possessive,0.85
2700,arbitrary_progressive,1.0
2700,arbitrary_third_person,0.55
2700,infinitive,1.0
2700,long_distance_agreement,1.0
2700,plural_agreement,0.3
2700,verb_base_form,0.85
2750,adjective,0.95
2750,arbitrary_past_tense,1.0
2750,arbitrary_plural,1.0
2750,arbitrary_possessive,0.8
2750,arbitrary_progressive,1.0
2750,arbitrary_third_person,0.6
2750,infinitive,1.0
2750,long_distance_agreement,1.0
2750,plural_agreement,0.3
2750,verb_base_form,0.85
2800,adjective,0.95
2800,arbitrary_past_tense,1.0
2800,arbitrary_plural,1.0
2800,arbitrary_possessive,0.85
2800,arbitrary_progressive,1.0
2800,arbitrary_third_person,0.75
2800,infinitive,1.0
2800,long_distance_agreement,1.0
2800,plural_agreement,0.6
2800,verb_base_form,0.9
2850,adjective,0.95
2850,arbitrary_past_tense,1.0
2850,arbitrary_plural,1.0
2850,arbitrary_possessive,0.95
2850,arbitrary_progressive,1.0
2850,arbitrary_third_person,0.75
2850,infinitive,1.0
2850,long_distance_agreement,1.0
2850,plural_agreement,0.8
2850,verb_base_form,0.9
2900,adjective,0.95
2900,arbitrary_past_tense,1.0
2900,arbitrary_plural,1.0
2900,arbitrary_possessive,0.95
2900,arbitrary_progressive,1.0
2900,arbitrary_third_person,0.9
2900,infinitive,1.0
2900,long_distance_agreement,1.0
2900,plural_agreement,0.9
2900,verb_base_form,1.0
2950,adjective,0.95
2950,arbitrary_past_tense,1.0
2950,arbitrary_plural,1.0
2950,arbitrary_possessive,0.95
2950,arbitrary_progressive,1.0
2950,arbitrary_third_person,0.9
2950,infinitive,1.0
2950,long_distance_agreement,1.0
2950,plural_agreement,0.9
2950,verb_base_form,1.0
3000,adjective,0.95
3000,arbitrary_past_tense,1.0
3000,arbitrary_plural,1.0
3000,arbitrary_possessive,0.95
3000,arbitrary_progressive,0.95
3000,arbitrary_third_person,0.85
3000,infinitive,1.0
3000,long_distance_agreement,1.0
3000,plural_agreement,0.9
3000,verb_base_form,1.0
3050,adjective,1.0
3050,arbitrary_past_tense,1.0
3050,arbitrary_plural,1.0
3050,arbitrary_possessive,0.9
3050,arbitrary_progressive,0.95
3050,arbitrary_third_person,0.9
3050,infinitive,1.0
3050,long_distance_agreement,1.0
3050,plural_agreement,1.0
3050,verb_base_form,1.0
3100,adjective,1.0
3100,arbitrary_past_tense,1.0
3100,arbitrary_plural,1.0
3100,arbitrary_possessive,1.0
3100,arbitrary_progressive,1.0
3100,arbitrary_third_person,0.9
3100,infinitive,1.0
3100,long_distance_agreement,1.0
3100,plural_agreement,1.0
3100,verb_base_form,1.0
3150,adjective,0.95
3150,arbitrary_past_tense,1.0
3150,arbitrary_plural,1.0
3150,arbitrary_possessive,0.95
3150,arbitrary_progressive,0.95
3150,arbitrary_third_person,0.85
3150,infinitive,1.0
3150,long_distance_agreement,1.0
3150,plural_agreement,1.0
3150,verb_base_form,1.0
3200,adjective,1.0
3200,arbitrary_past_tense,1.0
3200,arbitrary_plural,0.95
3200,arbitrary_possessive,0.9
3200,arbitrary_progressive,0.95
3200,arbitrary_third_person,0.9
3200,infinitive,1.0
3200,long_distance_agreement,1.0
3200,plural_agreement,1.0
3200,verb_base_form,0.95
3250,adjective,1.0
3250,arbitrary_past_tense,1.0
3250,arbitrary_plural,1.0
3250,arbitrary_possessive,0.9
3250,arbitrary_progressive,0.95
3250,arbitrary_third_person,0.8
3250,infinitive,1.0
3250,long_distance_agreement,1.0
3250,plural_agreement,0.9
3250,verb_base_form,0.9
3300,adjective,1.0
3300,arbitrary_past_tense,1.0
3300,arbitrary_plural,0.95
3300,arbitrary_possessive,0.85
3300,arbitrary_progressive,0.95
3300,arbitrary_third_person,0.85
3300,infinitive,1.0
3300,long_distance_agreement,1.0
3300,plural_agreement,1.0
3300,verb_base_form,1.0
3350,adjective,0.95
3350,arbitrary_past_tense,1.0
3350,arbitrary_plural,1.0
3350,arbitrary_possessive,0.95
3350,arbitrary_progressive,0.95
3350,arbitrary_third_person,0.85
3350,infinitive,1.0
3350,long_distance_agreement,1.0
3350,plural_agreement,1.0
3350,verb_base_form,1.0
3400,adjective,1.0
3400,arbitrary_past_tense,1.0
3400,arbitrary_plural,0.95
3400,arbitrary_possessive,0.95
3400,arbitrary_progressive,0.95
3400,arbitrary_third_person,0.9
3400,infinitive,1.0
3400,long_distance_agreement,1.0
3400,plural_agreement,1.0
3400,verb_base_form,1.0
3450,adjective,0.95
3450,arbitrary_past_tense,1.0
3450,arbitrary_plural,0.95
3450,arbitrary_possessive,0.9
3450,arbitrary_progressive,0.95
3450,arbitrary_third_person,0.85
3450,infinitive,1.0
3450,long_distance_agreement,1.0
3450,plural_agreement,1.0
3450,verb_base_form,1.0
3500,adjective,0.95
3500,arbitrary_past_tense,1.0
3500,arbitrary_plural,0.95
3500,arbitrary_possessive,0.85
3500,arbitrary_progressive,0.95
3500,arbitrary_third_person,0.7
3500,infinitive,1.0
3500,long_distance_agreement,1.0
3500,plural_agreement,1.0
3500,verb_base_form,1.0
3550,adjective,0.95
3550,arbitrary_past_tense,1.0
3550,arbitrary_plural,1.0
3550,arbitrary_possessive,0.9
3550,arbitrary_progressive,0.95
3550,arbitrary_third_person,0.9
3550,infinitive,1.0
3550,long_distance_agreement,1.0
3550,plural_agreement,1.0
3550,verb_base_form,1.0
3600,adjective,0.95
3600,arbitrary_past_tense,1.0
3600,arbitrary_plural,1.0
3600,arbitrary_possessive,0.95
3600,arbitrary_progressive,0.95
3600,arbitrary_third_person,0.85
3600,infinitive,1.0
3600,long_distance_agreement,1.0
3600,plural_agreement,1.0
3600,verb_base_form,1.0
3650,adjective,0.95
3650,arbitrary_past_tense,1.0
3650,arbitrary_plural,1.0
3650,arbitrary_possessive,0.9
3650,arbitrary_progressive,1.0
3650,arbitrary_third_person,0.85
3650,infinitive,1.0
3650,long_distance_agreement,1.0
3650,plural_agreement,0.9
3650,verb_base_form,1.0
3700,adjective,0.95
3700,arbitrary_past_tense,1.0
3700,arbitrary_plural,0.95
3700,arbitrary_possessive,0.85
3700,arbitrary_progressive,1.0
3700,arbitrary_third_person,0.8
3700,infinitive,1.0
3700,long_distance_agreement,1.0
3700,plural_agreement,0.9
3700,verb_base_form,1.0
3750,adjective,1.0
3750,arbitrary_past_tense,1.0
3750,arbitrary_plural,1.0
3750,arbitrary_possessive,0.85
3750,arbitrary_progressive,1.0
3750,arbitrary_third_person,0.8
3750,infinitive,1.0
3750,long_distance_agreement,0.8
3750,plural_agreement,1.0
3750,verb_base_form,0.95
3800,adjective,1.0
3800,arbitrary_past_tense,1.0
3800,arbitrary_plural,1.0
3800,arbitrary_possessive,0.85
3800,arbitrary_progressive,1.0
3800,arbitrary_third_person,0.85
3800,infinitive,1.0
3800,long_distance_agreement,0.7
3800,plural_agreement,1.0
3800,verb_base_form,0.95
3850,adjective,0.95
3850,arbitrary_past_tense,1.0
3850,arbitrary_plural,1.0
3850,arbitrary_possessive,0.85
3850,arbitrary_progressive,1.0
3850,arbitrary_third_person,0.85
3850,infinitive,1.0
3850,long_distance_agreement,0.8
3850,plural_agreement,0.9
3850,verb_base_form,0.95
3900,adjective,0.95
3900,arbitrary_past_tense,1.0
3900,arbitrary_plural,1.0
3900,arbitrary_possessive,0.85
3900,arbitrary_progressive,0.95
3900,arbitrary_third_person,0.8
3900,infinitive,1.0
3900,long_distance_agreement,0.5
3900,plural_agreement,0.8
3900,verb_base_form,0.95
3950,adjective,0.95
3950,arbitrary_past_tense,1.0
3950,arbitrary_plural,1.0
3950,arbitrary_possessive,0.8
3950,arbitrary_progressive,0.95
3950,arbitrary_third_person,0.75
3950,infinitive,1.0
3950,long_distance_agreement,0.7
3950,plural_agreement,0.9
3950,verb_base_form,1.0
4000,adjective,1.0
4000,arbitrary_past_tense,1.0
4000,arbitrary_plural,1.0
4000,arbitrary_possessive,0.85
4000,arbitrary_progressive,1.0
4000,arbitrary_third_person,0.8
4000,infinitive,1.0
4000,long_distance_agreement,0.9
4000,plural_agreement,1.0
4000,verb_base_form,1.0
4050,adjective,1.0
4050,arbitrary_past_tense,1.0
4050,arbitrary_plural,1.0
4050,arbitrary_possessive,0.8
4050,arbitrary_progressive,1.0
4050,arbitrary_third_person,0.75
4050,infinitive,1.0
4050,long_distance_agreement,0.5
4050,plural_agreement,1.0
4050,verb_base_form,1.0
4100,adjective,1.0
4100,arbitrary_past_tense,0.9
4100,arbitrary_plural,1.0
4100,arbitrary_possessive,0.8
4100,arbitrary_progressive,1.0
4100,arbitrary_third_person,0.8
4100,infinitive,1.0
4100,long_distance_agreement,0.4
4100,plural_agreement,1.0
4100,verb_base_form,1.0
4150,adjective,0.95
4150,arbitrary_past_tense,0.85
4150,arbitrary_plural,0.95
4150,arbitrary_possessive,0.8
4150,arbitrary_progressive,1.0
4150,arbitrary_third_person,0.75
4150,infinitive,1.0
4150,long_distance_agreement,0.5
4150,plural_agreement,0.9
4150,verb_base_form,1.0
4200,adjective,1.0
4200,arbitrary_past_tense,1.0
4200,arbitrary_plural,1.0
4200,arbitrary_possessive,0.9
4200,arbitrary_progressive,1.0
4200,arbitrary_third_person,0.8
4200,infinitive,1.0
4200,long_distance_agreement,0.5
4200,plural_agreement,1.0
4200,verb_base_form,1.0
4250,adjective,1.0
4250,arbitrary_past_tense,1.0
4250,arbitrary_plural,1.0
4250,arbitrary_possessive,0.9
4250,arbitrary_progressive,1.0
4250,arbitrary_third_person,0.8
4250,infinitive,1.0
4250,long_distance_agreement,0.5
4250,plural_agreement,1.0
4250,verb_base_form,1.0
4300,adjective,1.0
4300,arbitrary_past_tense,1.0
4300,arbitrary_plural,1.0
4300,arbitrary_possessive,0.9
4300,arbitrary_progressive,1.0
4300,arbitrary_third_person,0.75
4300,infinitive,1.0
4300,long_distance_agreement,0.5
4300,plural_agreement,1.0
4300,verb_base_form,1.0
4350,adjective,1.0
4350,arbitrary_past_tense,1.0
4350,arbitrary_plural,1.0
4350,arbitrary_possessive,0.9
4350,arbitrary_progressive,1.0
4350,arbitrary_third_person,0.75
4350,infinitive,1.0
4350,long_distance_agreement,0.6
4350,plural_agreement,1.0
4350,verb_base_form,1.0
4400,adjective,0.95
4400,arbitrary_past_tense,1.0
4400,arbitrary_plural,1.0
4400,arbitrary_possessive,0.9
4400,arbitrary_progressive,1.0
4400,arbitrary_third_person,0.75
4400,infinitive,1.0
4400,long_distance_agreement,0.4
4400,plural_agreement,1.0
4400,verb_base_form,1.0
4450,adjective,1.0
4450,arbitrary_past_tense,1.0
4450,arbitrary_plural,1.0
4450,arbitrary_possessive,0.85
4450,arbitrary_progressive,1.0
4450,arbitrary_third_person,0.75
4450,infinitive,1.0
4450,long_distance_agreement,0.5
4450,plural_agreement,1.0
4450,verb_base_form,0.95
4500,adjective,1.0
4500,arbitrary_past_tense,1.0
4500,arbitrary_plural,1.0
4500,arbitrary_possessive,0.8
4500,arbitrary_progressive,1.0
4500,arbitrary_third_person,0.75
4500,infinitive,1.0
4500,long_distance_agreement,0.5
4500,plural_agreement,1.0
4500,verb_base_form,0.95
4550,adjective,1.0
4550,arbitrary_past_tense,1.0
4550,arbitrary_plural,1.0
4550,arbitrary_possessive,0.8
4550,arbitrary_progressive,1.0
4550,arbitrary_third_person,0.75
4550,infinitive,1.0
4550,long_distance_agreement,0.5
4550,plural_agreement,1.0
4550,verb_base_form,1.0
4600,adjective,1.0
4600,arbitrary_past_tense,1.0
4600,arbitrary_plural,0.95
4600,arbitrary_possessive,0.85
4600,arbitrary_progressive,1.0
4600,arbitrary_third_person,0.7
4600,infinitive,1.0
4600,long_distance_agreement,0.9
4600,plural_agreement,1.0
4600,verb_base_form,0.95
4650,adjective,1.0
4650,arbitrary_past_tense,1.0
4650,arbitrary_plural,1.0
4650,arbitrary_possessive,0.85
4650,arbitrary_progressive,1.0
4650,arbitrary_third_person,0.8
4650,infinitive,1.0
4650,long_distance_agreement,0.9
4650,plural_agreement,1.0
4650,verb_base_form,1.0
4700,adjective,1.0
4700,arbitrary_past_tense,1.0
